Key,English Value,Category,Priority,Notes
"dashboard.marketplace.filters.categories.music","Music","dashboard","MEDIUM",""
"dashboard.marketplace.filters.categories.artistic","Artistic","dashboard","MEDIUM",""
"dashboard.marketplace.filters.sort.popular","Most Popular","dashboard","MEDIUM",""
"dashboard.marketplace.filters.sort.newest","Newest","dashboard","MEDIUM",""
"dashboard.marketplace.filters.sort.rating","Highest Rated","dashboard","MEDIUM",""
"dashboard.marketplace.filters.sort.priceLow","Price: Low to High","dashboard","MEDIUM",""
"dashboard.marketplace.filters.sort.priceHigh","Price: High to Low","dashboard","MEDIUM",""
"dashboard.marketplace.template.preview","Preview","dashboard","MEDIUM",""
"dashboard.marketplace.template.download","Download","dashboard","MEDIUM",""
"dashboard.marketplace.template.purchased","Purchased","dashboard","MEDIUM",""
"dashboard.marketplace.template.price","Price","dashboard","MEDIUM",""
"dashboard.marketplace.template.category","Category","dashboard","MEDIUM",""
"dashboard.marketplace.template.downloads","Downloads","dashboard","MEDIUM",""
"dashboard.marketplace.template.rating","Rating","dashboard","MEDIUM",""
"dashboard.marketplace.template.features","Features","dashboard","MEDIUM",""
"dashboard.marketplace.purchase.dialog.title","Purchase Template","dashboard","MEDIUM",""
"dashboard.marketplace.purchase.dialog.description","You're about to purchase ""{name}"" for {price}","dashboard","MEDIUM",""
"dashboard.marketplace.purchase.dialog.confirm","Confirm Purchase","dashboard","MEDIUM",""
"dashboard.marketplace.purchase.dialog.cancel","Cancel","dashboard","MEDIUM",""
"dashboard.marketplace.purchase.dialog.processing","Processing...","dashboard","MEDIUM",""
"dashboard.marketplace.purchase.success","Template purchased successfully!","dashboard","MEDIUM",""
"dashboard.marketplace.purchase.error","Failed to purchase template","dashboard","MEDIUM",""
"dashboard.marketplace.download.success","Template downloaded successfully!","dashboard","MEDIUM",""
"dashboard.marketplace.download.error","Failed to download template","dashboard","MEDIUM",""
"dashboard.marketplace.loading","Loading templates...","dashboard","MEDIUM",""
"dashboard.marketplace.error","Failed to load templates","dashboard","MEDIUM",""
"dashboard.customization.title","Advanced Customization","dashboard","MEDIUM",""
"dashboard.customization.subtitle","Fine-tune your template with advanced options","dashboard","MEDIUM",""
"dashboard.customization.sections.colors","Colors","dashboard","MEDIUM",""
"dashboard.customization.sections.typography","Typography","dashboard","MEDIUM",""
"dashboard.customization.sections.layout","Layout","dashboard","MEDIUM",""
"dashboard.customization.sections.code","Custom Code","dashboard","MEDIUM",""
"dashboard.customization.colors.primary","Primary Color","dashboard","MEDIUM",""
"dashboard.customization.colors.secondary","Secondary Color","dashboard","MEDIUM",""
"dashboard.customization.colors.accent","Accent Color","dashboard","MEDIUM",""
"dashboard.customization.colors.background","Background Color","dashboard","MEDIUM",""
"dashboard.customization.colors.text","Text Color","dashboard","MEDIUM",""
"dashboard.customization.colors.reset","Reset to Default","dashboard","MEDIUM",""
"dashboard.customization.typography.fontFamily","Font Family","dashboard","MEDIUM",""
"dashboard.customization.typography.fontSize","Font Size","dashboard","MEDIUM",""
"dashboard.customization.typography.lineHeight","Line Height","dashboard","MEDIUM",""
"dashboard.customization.typography.fontWeight","Font Weight","dashboard","MEDIUM",""
"dashboard.customization.typography.textAlign","Text Alignment","dashboard","MEDIUM",""
"dashboard.customization.layout.containerWidth","Container Width","dashboard","MEDIUM",""
"dashboard.customization.layout.spacing","Spacing","dashboard","MEDIUM",""
"dashboard.customization.layout.borderRadius","Border Radius","dashboard","MEDIUM",""
"dashboard.customization.layout.shadows","Shadows","dashboard","MEDIUM",""
"dashboard.customization.code.css","Custom CSS","dashboard","MEDIUM",""
"dashboard.customization.code.javascript","Custom JavaScript","dashboard","MEDIUM",""
"dashboard.customization.code.html","Custom HTML","dashboard","MEDIUM",""
"dashboard.customization.code.warning","Warning: Custom code can break your template. Use with caution.","dashboard","MEDIUM",""
"dashboard.customization.preview.title","Live Preview","dashboard","MEDIUM",""
"dashboard.customization.preview.mobile","Mobile","dashboard","MEDIUM",""
"dashboard.customization.preview.tablet","Tablet","dashboard","MEDIUM",""
"dashboard.customization.preview.desktop","Desktop","dashboard","MEDIUM",""
"dashboard.customization.preview.fullscreen","Fullscreen","dashboard","MEDIUM",""
"dashboard.customization.actions.save","Save Changes","dashboard","MEDIUM",""
"dashboard.customization.actions.reset","Reset All","dashboard","MEDIUM",""
"dashboard.customization.actions.export","Export Settings","dashboard","MEDIUM",""
"dashboard.customization.actions.import","Import Settings","dashboard","MEDIUM",""
"dashboard.customization.actions.saving","Saving...","dashboard","MEDIUM",""
"dashboard.customization.actions.resetting","Resetting...","dashboard","MEDIUM",""
"dashboard.customization.import.dialog.title","Import Customization Settings","dashboard","MEDIUM",""
"dashboard.customization.import.dialog.description","Paste your exported settings below","dashboard","MEDIUM",""
"dashboard.customization.import.dialog.placeholder","Paste JSON settings here...","dashboard","MEDIUM",""
"dashboard.customization.import.dialog.import","Import","dashboard","MEDIUM",""
"dashboard.customization.import.dialog.cancel","Cancel","dashboard","MEDIUM",""
"dashboard.customization.import.success","Settings imported successfully!","dashboard","MEDIUM",""
"dashboard.customization.import.error","Failed to import settings. Please check the format.","dashboard","MEDIUM",""
"dashboard.customization.export.success","Settings exported to clipboard!","dashboard","MEDIUM",""
"dashboard.customization.export.error","Failed to export settings","dashboard","MEDIUM",""
"dashboard.customization.save.success","Customization saved successfully!","dashboard","MEDIUM",""
"dashboard.customization.save.error","Failed to save customization","dashboard","MEDIUM",""
"dashboard.customization.reset.confirm.title","Reset All Customizations?","dashboard","MEDIUM",""
"dashboard.customization.reset.confirm.description","This will restore all settings to their default values. This action cannot be undone.","dashboard","MEDIUM",""
"dashboard.customization.reset.confirm.confirm","Reset All","dashboard","MEDIUM",""
"dashboard.customization.reset.confirm.cancel","Cancel","dashboard","MEDIUM",""
"dashboard.customization.reset.success","All customizations reset successfully!","dashboard","MEDIUM",""
"dashboard.customization.reset.error","Failed to reset customizations","dashboard","MEDIUM",""
"dashboard.customization.validation.invalidCss","Invalid CSS syntax","dashboard","MEDIUM",""
"dashboard.customization.validation.invalidJs","Invalid JavaScript syntax","dashboard","MEDIUM",""
"dashboard.customization.validation.invalidHtml","Invalid HTML syntax","dashboard","MEDIUM",""
"dashboard.tabs.myTemplates","My Templates","dashboard","MEDIUM",""
"dashboard.tabs.marketplace","Marketplace","dashboard","MEDIUM",""
"dashboard.tabs.analytics","Analytics","dashboard","MEDIUM",""
"dashboard.tabs.customization","Customization","dashboard","MEDIUM",""
"termsAndConditions.agree","I agree to the Terms and Conditions","termsAndConditions","MEDIUM",""
"termsAndConditions.title","Memorial Website Service Terms and Conditions","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.serviceDescription.title","1. Service Description","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.serviceDescription.content","Our memorial website service provides a platform to create and maintain online memorials for loved ones. This includes hosting, templates, and maintenance as specified in your chosen plan.","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.paymentTerms.title","2. Payment Terms","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.paymentTerms.content","All payments are one-time fees for the selected plan. Payment is required before service activation. Fees are non-refundable once the website has been created and published.","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.contentGuidelines.title","3. Content Guidelines","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.contentGuidelines.content","You agree to provide appropriate content that respects the memory of the deceased. We reserve the right to remove any content that violates our community guidelines or is deemed inappropriate.","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.privacyAndData.title","4. Privacy and Data","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.privacyAndData.content","We respect your privacy and will handle all personal information in accordance with our privacy policy. Memorial content may be publicly accessible unless privacy settings are applied.","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.serviceAvailability.title","5. Service Availability","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.serviceAvailability.content","We strive to maintain 99% uptime but cannot guarantee uninterrupted service. Scheduled maintenance may occur with prior notice.","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.intellectualProperty.title","6. Intellectual Property","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.intellectualProperty.content","You retain rights to the content you provide. We retain rights to the platform, templates, and technology. The memorial website design is licensed for your use.","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.termination.title","7. Termination","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.termination.content","You may request termination of service at any time. We reserve the right to terminate service for violation of terms. Memorial websites are maintained for the duration specified in your plan.","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.limitationOfLiability.title","8. Limitation of Liability","termsAndConditions","MEDIUM",""
"termsAndConditions.sections.limitationOfLiability.content","Our liability is limited to the amount paid for the service. We are not liable for indirect damages or losses resulting from service use.","termsAndConditions","MEDIUM",""
"termsAndConditions.note","Note: By checking the agreement box, you acknowledge that you have read, understood, and agree to be bound by these Terms and Conditions.","termsAndConditions","MEDIUM",""
"register.welcome","Create Account","register","MEDIUM",""
"register.subtitle","Create a lasting memory","register","MEDIUM",""
"register.form.name","Full Name","register","MEDIUM",""
"register.form.email","Email Address","register","MEDIUM",""
"register.form.phone","Phone Number","register","MEDIUM",""
"register.form.password","Password","register","MEDIUM",""
"register.form.confirmPassword","Confirm Password","register","MEDIUM",""
"register.placeholders.name","Enter your full name","register","MEDIUM",""
"register.placeholders.email","Enter your email","register","MEDIUM",""
"register.placeholders.phone","WhatsApp number","register","MEDIUM",""
"register.placeholders.password","Enter your password","register","MEDIUM",""
"register.placeholders.confirmPassword","Confirm your password","register","MEDIUM",""
"register.buttons.createAccount","Create Account","register","MEDIUM",""
"register.buttons.creatingAccount","Creating Account...","register","MEDIUM",""
"register.buttons.loginHere","Login here","register","MEDIUM",""
"register.errors.nameRequired","Name is required","register","MEDIUM",""
"register.errors.emailRequired","Email is required","register","MEDIUM",""
"register.errors.invalidEmail","Please enter a valid email","register","MEDIUM",""
"register.errors.phoneRequired","Phone number is required","register","MEDIUM",""
"register.errors.passwordRequired","Password is required","register","MEDIUM",""
"register.errors.passwordLength","Password must be at least 8 characters","register","MEDIUM",""
"register.errors.passwordsDontMatch","Passwords do not match","register","MEDIUM",""
"register.errors.recaptchaRequired","Please complete the reCAPTCHA verification","register","MEDIUM",""
"register.errors.paymentRequired","Payment required. Please complete payment first.","register","MEDIUM",""
"register.errors.paymentVerificationFailed","Payment verification failed. Please complete payment first.","register","MEDIUM",""
"register.errors.paymentVerificationError","Failed to verify payment. Please try again.","register","MEDIUM",""
"register.errors.registrationFailed","Registration failed","register","MEDIUM",""
"register.errors.registrationError","An error occurred during registration","register","MEDIUM",""
"register.success.accountCreated","Account created successfully! Please verify your email.","register","MEDIUM",""
"register.alreadyHaveAccount","Already have an account?","register","MEDIUM",""
"register.terms.byRegistering","By registering, you agree to our","register","MEDIUM",""
"register.terms.termsOfService","Terms of Service","register","MEDIUM",""
"register.terms.and","and","register","MEDIUM",""
"register.terms.privacyPolicy","Privacy Policy","register","MEDIUM",""
"register.tagline","A place to honor and remember those we love","register","MEDIUM",""
"login.welcomeBack","Welcome Back","login","MEDIUM",""
"login.subtitle","Login to ForeverPages","login","MEDIUM",""
"login.form.email","Email Address","login","MEDIUM",""
"login.form.emailOrPhone","Email or Phone Number","login","MEDIUM",""
"login.form.password","Password","login","MEDIUM",""
"login.placeholders.email","Enter your email","login","MEDIUM",""
"login.placeholders.emailOrPhone","Enter your email or phone number","login","MEDIUM",""
"login.placeholders.password","Enter your password","login","MEDIUM",""
"login.buttons.login","Login","login","MEDIUM",""
"login.buttons.registerHere","Register here","login","MEDIUM",""
"login.errors.emailRequired","Email is required","login","MEDIUM",""
"login.errors.invalidEmail","Please enter a valid email","login","MEDIUM",""
"login.errors.passwordRequired","Password is required","login","MEDIUM",""
"login.rememberMe","Remember me","login","MEDIUM",""
"login.forgotPassword","Forgot password?","login","MEDIUM",""
"login.noAccount","Don't have an account?","login","MEDIUM",""
"login.tagline","A place to honor and remember those we love","login","MEDIUM",""
"forgotPassword.title","Forgot Password","forgotPassword","MEDIUM",""
"forgotPassword.subtitle","Enter your email to reset your password","forgotPassword","MEDIUM",""
"forgotPassword.form.email","Email Address","forgotPassword","MEDIUM",""
"forgotPassword.placeholders.email","Enter your email address","forgotPassword","MEDIUM",""
"forgotPassword.buttons.resetPassword","Reset Password","forgotPassword","MEDIUM",""
"forgotPassword.buttons.sending","Sending...","forgotPassword","MEDIUM",""
"forgotPassword.errors.emailRequired","Email is required","forgotPassword","MEDIUM",""
"forgotPassword.errors.invalidEmail","Please enter a valid email address","forgotPassword","MEDIUM",""
"forgotPassword.backToLogin","Back to Login","forgotPassword","MEDIUM",""
"forgotPassword.success.title","Check Your Email","forgotPassword","MEDIUM",""
"forgotPassword.success.subtitle","We've sent you a password reset link","forgotPassword","MEDIUM",""
"forgotPassword.success.checkEmail","Check Your Email","forgotPassword","MEDIUM",""
"forgotPassword.success.instructions","We've sent a password reset link to {{email}}. Please check your inbox and follow the instructions to reset your password.","forgotPassword","MEDIUM",""
"forgotPassword.success.tryAgain","Try Another Email","forgotPassword","MEDIUM",""
"forgotPassword.success.backToLogin","Back to Login","forgotPassword","MEDIUM",""
"forgotPassword.tagline","A place to honor and remember those we love","forgotPassword","MEDIUM",""
"resetPassword.title","Reset Password","resetPassword","MEDIUM",""
"resetPassword.subtitle","Create a new password for your account","resetPassword","MEDIUM",""
"resetPassword.form.newPassword","New Password","resetPassword","MEDIUM",""
"resetPassword.form.confirmPassword","Confirm Password","resetPassword","MEDIUM",""
"resetPassword.placeholders.newPassword","Enter your new password","resetPassword","MEDIUM",""
"resetPassword.placeholders.confirmPassword","Confirm your new password","resetPassword","MEDIUM",""
"resetPassword.buttons.resetPassword","Reset Password","resetPassword","MEDIUM",""
"resetPassword.buttons.resetting","Resetting...","resetPassword","MEDIUM",""
"resetPassword.errors.passwordRequired","Password is required","resetPassword","MEDIUM",""
"resetPassword.errors.passwordLength","Password must be at least 8 characters","resetPassword","MEDIUM",""
"resetPassword.errors.passwordsDontMatch","Passwords do not match","resetPassword","MEDIUM",""
"resetPassword.backToLogin","Back to Login","resetPassword","MEDIUM",""
"resetPassword.success.title","Password Reset","resetPassword","MEDIUM",""
"resetPassword.success.subtitle","Your password has been successfully reset","resetPassword","MEDIUM",""
"resetPassword.success.passwordReset","Password Reset Successful","resetPassword","MEDIUM",""
"resetPassword.success.loginAgain","You can now login with your new password","resetPassword","MEDIUM",""
"resetPassword.success.backToLogin","Back to Login","resetPassword","MEDIUM",""
"resetPassword.tagline","A place to honor and remember those we love","resetPassword","MEDIUM",""
"emailVerification.title","Verify Your Email","emailVerification","MEDIUM",""
"emailVerification.subtitle","Enter the 6-digit code sent to your email","emailVerification","MEDIUM",""
"emailVerification.enterCode","Enter Verification Code","emailVerification","MEDIUM",""
"emailVerification.instructions","Please enter the 6-digit verification code we sent to your email address.","emailVerification","MEDIUM",""
"emailVerification.spamWarning","If you don't see the email, check your spam folder.","emailVerification","MEDIUM",""
"emailVerification.didntReceive","Didn't receive the code?","emailVerification","MEDIUM",""
"emailVerification.resendIn","Resend in","emailVerification","MEDIUM",""
"emailVerification.verifying","Verifying your code...","emailVerification","MEDIUM",""
"emailVerification.buttons.resend","Resend Code","emailVerification","MEDIUM",""
"emailVerification.buttons.resendCode","Resend Verification Code","emailVerification","MEDIUM",""
"emailVerification.buttons.sending","Sending...","emailVerification","MEDIUM",""
"emailVerification.buttons.backToLogin","Back to Login","emailVerification","MEDIUM",""
"emailVerification.success.toast","Email verified successfully! Redirecting...","emailVerification","MEDIUM",""
"emailVerification.error.expired","Verification code has expired. Please request a new one.","emailVerification","MEDIUM",""
"emailVerification.error.invalid","Invalid code. Please check and try again.","emailVerification","MEDIUM",""
"emailVerification.tagline","A place to honor and remember those we love","emailVerification","MEDIUM",""
"confirmEmail.title","Confirming Your Email","confirmEmail","MEDIUM",""
"confirmEmail.subtitle","We're verifying your email address","confirmEmail","MEDIUM",""
"confirmEmail.verifying","Verifying your email address...","confirmEmail","MEDIUM",""
"confirmEmail.redirectNotice","You will be redirected to login automatically","confirmEmail","MEDIUM",""
"confirmEmail.success.toast","Email confirmed successfully!","confirmEmail","MEDIUM",""
"confirmEmail.success.redirecting","Redirecting to login...","confirmEmail","MEDIUM",""
"confirmEmail.error.toast","Email confirmation failed","confirmEmail","MEDIUM",""
"confirmEmail.error.expired","Confirmation link has expired","confirmEmail","MEDIUM",""
"confirmEmail.error.invalid","Invalid confirmation link","confirmEmail","MEDIUM",""
"confirmEmail.error.network","Network error. Please try again.","confirmEmail","MEDIUM",""
"offline.status.online","Online","offline","MEDIUM",""
"offline.status.offline","Offline","offline","MEDIUM",""
"offline.status.syncing","Syncing...","offline","MEDIUM",""
"offline.pendingActions","Pending actions: {count}","offline","MEDIUM",""
"offline.syncProgress.synchronizing","Synchronizing...","offline","MEDIUM",""
"offline.syncProgress.progress","Progress: {{current}}/{{total}}","offline","MEDIUM",""
"offline.syncProgress.title","Sync Progress","offline","MEDIUM",""
"offline.syncProgress.complete","Complete","offline","MEDIUM",""
"offline.banner.offlineMessage","You're currently offline.","offline","MEDIUM",""
"offline.banner.pendingActions","You have {count} pending action{{count !== 1 ? 's' : ''}} that will sync when you're back online.","offline","MEDIUM",""
"offline.lastSync","Last sync: {{synced}} synced, {{failed}} failed","offline","MEDIUM",""
"offline.loading.offline","Offline","offline","MEDIUM",""
"offline.loading.viewingCached","Viewing cached images","offline","MEDIUM",""
"offline.loading.actionsQueued","{count} action{{count !== 1 ? 's' : ''}} queued","offline","MEDIUM",""
"offline.loading.willSyncWhenOnline","will sync when online","offline","MEDIUM",""
"offline.loading.savedLocally","Will be saved locally and synced when online","offline","MEDIUM",""
"twoFactor.verification.title","Two-Factor Authentication","twoFactor","MEDIUM",""
"twoFactor.verification.subtitle.email","Enter the code sent to your email","twoFactor","MEDIUM",""
"twoFactor.verification.subtitle.authenticator","Enter the code from your authenticator app","twoFactor","MEDIUM",""
"twoFactor.verification.enterCode","Enter Verification Code","twoFactor","MEDIUM",""
"twoFactor.verification.instructions.email","Code sent to {{email}}","twoFactor","MEDIUM",""
"twoFactor.verification.instructions.authenticator","Open your authenticator app","twoFactor","MEDIUM",""
"twoFactor.verification.verifying","Verifying...","twoFactor","MEDIUM",""
"twoFactor.verification.resendCode","Resend code","twoFactor","MEDIUM",""
"twoFactor.verification.useBackupCode","Use backup code instead","twoFactor","MEDIUM",""
"twoFactor.verification.backupCode.title","Enter Backup Code","twoFactor","MEDIUM",""
"twoFactor.verification.backupCode.subtitle","Enter one of your saved backup codes","twoFactor","MEDIUM",""
"twoFactor.verification.backupCode.placeholder","XXXX-XXXX","twoFactor","MEDIUM",""
"twoFactor.verification.backupCode.verify","Verify Backup Code","twoFactor","MEDIUM",""
"twoFactor.verification.backupCode.useVerificationCode","Use verification code instead","twoFactor","MEDIUM",""
"twoFactor.verification.backToLogin","Back to login","twoFactor","MEDIUM",""
"twoFactor.verification.success","Verification successful!","twoFactor","MEDIUM",""
"twoFactor.verification.error.invalidCode","Invalid verification code","twoFactor","MEDIUM",""
"twoFactor.verification.error.failed","Failed to complete login","twoFactor","MEDIUM",""
"twoFactor.settings.title","Two-Factor Authentication","twoFactor","MEDIUM",""
"twoFactor.settings.description","Add an extra layer of security to your account","twoFactor","MEDIUM",""
"twoFactor.settings.status.enabled","2FA Enabled","twoFactor","MEDIUM",""
"twoFactor.settings.status.disabled","2FA Disabled","twoFactor","MEDIUM",""
"twoFactor.settings.status.method.email","Email","twoFactor","MEDIUM",""
"twoFactor.settings.status.method.authenticator","Authenticator App","twoFactor","MEDIUM",""
"twoFactor.settings.enable.title","Enable Two-Factor Authentication","twoFactor","MEDIUM",""
"twoFactor.settings.enable.selectMethod","Select Authentication Method","twoFactor","MEDIUM",""
"twoFactor.settings.enable.methods.email.title","Email Authentication","twoFactor","MEDIUM",""
"twoFactor.settings.enable.methods.email.description","Receive a verification code via email whenever you sign in","twoFactor","MEDIUM",""
"twoFactor.settings.enable.methods.authenticator.title","Authenticator App","twoFactor","MEDIUM",""
"twoFactor.settings.enable.methods.authenticator.description","Use an authenticator app like Google Authenticator or Authy","twoFactor","MEDIUM",""
"twoFactor.settings.email.title","Email Two-Factor Authentication","twoFactor","MEDIUM",""
"twoFactor.settings.email.description","You'll receive a verification code via email when signing in.","twoFactor","MEDIUM",""
"twoFactor.settings.email.howItWorks","How it works:","twoFactor","MEDIUM",""
"twoFactor.settings.email.steps.step1","Sign in with your password","twoFactor","MEDIUM",""
"twoFactor.settings.email.steps.step2","Receive a code via email","twoFactor","MEDIUM",""
"twoFactor.settings.email.steps.step3","Enter the code to complete login","twoFactor","MEDIUM",""
"twoFactor.settings.email.buttons.enable","Enable Email 2FA","twoFactor","MEDIUM",""
"twoFactor.settings.email.buttons.enabling","Enabling...","twoFactor","MEDIUM",""
"twoFactor.settings.email.buttons.disable","Disable 2FA","twoFactor","MEDIUM",""
"twoFactor.settings.email.buttons.disabling","Disabling...","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.title","Authenticator App Setup","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.description","Use an authenticator app for more secure verification.","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step1.title","Step 1: Install an Authenticator App","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step1.description","Download an authenticator app if you don't have one:","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step1.apps.googleAuth","Google Authenticator","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step1.apps.authy","Authy","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step1.apps.msAuth","Microsoft Authenticator","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step2.title","Step 2: Scan QR Code","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step2.description","Open your authenticator app and scan this QR code:","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step2.manualEntry","Can't scan? Enter this code manually:","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step2.copy","Copy","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step2.copied","Copied!","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step3.title","Step 3: Verify Setup","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step3.description","Enter the 6-digit code from your authenticator app:","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step3.placeholder","Enter 6-digit code","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step3.verify","Verify & Enable","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.step3.verifying","Verifying...","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.buttons.cancel","Cancel","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.buttons.disable","Disable Authenticator 2FA","twoFactor","MEDIUM",""
"twoFactor.settings.authenticator.buttons.disabling","Disabling...","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.title","Backup Codes","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.description","Save these backup codes in a secure place. Each code can only be used once.","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.warning","Warning: Only {{count}} backup code(s) remaining. Generate new ones in Settings.","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.remaining","{{count}} codes remaining","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.buttons.download","Download Codes","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.buttons.copy","Copy All Codes","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.buttons.copied","Copied to clipboard!","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.buttons.regenerate","Regenerate Codes","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.buttons.regenerating","Regenerating...","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.regenerateWarning.title","Regenerate Backup Codes?","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.regenerateWarning.message","This will invalidate all existing backup codes. Make sure you've saved your current codes before proceeding.","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.regenerateWarning.confirm","Regenerate","twoFactor","MEDIUM",""
"twoFactor.settings.backupCodes.regenerateWarning.cancel","Cancel","twoFactor","MEDIUM",""
"twoFactor.settings.disable.warning.title","Disable Two-Factor Authentication?","twoFactor","MEDIUM",""
"twoFactor.settings.disable.warning.message","Your account will be less secure without 2FA. Are you sure you want to disable it?","twoFactor","MEDIUM",""
"twoFactor.settings.disable.warning.confirm","Yes, Disable 2FA","twoFactor","MEDIUM",""
"twoFactor.settings.disable.warning.cancel","Cancel","twoFactor","MEDIUM",""
"twoFactor.settings.success.enabled","Two-factor authentication enabled successfully!","twoFactor","MEDIUM",""
"twoFactor.settings.success.disabled","Two-factor authentication disabled","twoFactor","MEDIUM",""
"twoFactor.settings.success.codesRegenerated","Backup codes regenerated successfully","twoFactor","MEDIUM",""
"twoFactor.settings.error.loadFailed","Failed to load 2FA settings","twoFactor","MEDIUM",""
"twoFactor.settings.error.enableFailed","Failed to enable 2FA","twoFactor","MEDIUM",""
"twoFactor.settings.error.disableFailed","Failed to disable 2FA","twoFactor","MEDIUM",""
"twoFactor.settings.error.verifyFailed","Failed to verify code","twoFactor","MEDIUM",""
"twoFactor.settings.error.regenerateFailed","Failed to regenerate backup codes","twoFactor","MEDIUM",""
"notifications.title","Notifications","notifications","MEDIUM",""
"notifications.bellButton","Notifications","notifications","MEDIUM",""
"notifications.markAllRead","Mark all as read","notifications","MEDIUM",""
"notifications.clearAll","Clear all","notifications","MEDIUM",""
"notifications.loading","Loading notifications...","notifications","MEDIUM",""
"notifications.empty","No notifications yet","notifications","MEDIUM",""
"notifications.markedAsRead","Marked as read","notifications","MEDIUM",""
"notifications.markAsReadError","Failed to mark as read","notifications","MEDIUM",""
"notifications.allMarkedAsRead","All notifications marked as read","notifications","MEDIUM",""
"notifications.markAllAsReadError","Failed to mark all as read","notifications","MEDIUM",""
"notifications.allCleared","All notifications cleared","notifications","MEDIUM",""
"notifications.clearAllError","Failed to clear notifications","notifications","MEDIUM",""
"notifications.types.NEW_TRIBUTE","New Tribute","notifications","MEDIUM",""
"notifications.types.NEW_COMMENT","New Comment","notifications","MEDIUM",""
"notifications.types.NEW_PHOTO","New Photo","notifications","MEDIUM",""
"notifications.types.NEW_CANDLE","New Candle","notifications","MEDIUM",""
"notifications.types.NEW_FLOWER","New Flower","notifications","MEDIUM",""
"notifications.types.INVITATION","Invitation","notifications","MEDIUM",""
"notifications.types.MEMORIAL_ANNIVERSARY","Memorial Anniversary","notifications","MEDIUM",""
"notifications.types.BIRTHDAY_ANNIVERSARY","Birthday Anniversary","notifications","MEDIUM",""
"notifications.types.EXPIRING_SOON","Expiring Soon","notifications","MEDIUM",""
"notifications.types.SYSTEM","System Notification","notifications","MEDIUM",""
"collaborators.roles.ADMIN.short","Admin","collaborators","MEDIUM",""
"collaborators.roles.EDITOR.short","Editor","collaborators","MEDIUM",""
"collaborators.roles.CONTRIBUTOR.short","Contributor","collaborators","MEDIUM",""
"collaborators.table.acceptedAt","Accepted","collaborators","MEDIUM",""
"collaborators.dialogs.changeRole.confirm","Confirm Change","collaborators","MEDIUM",""
"collaborators.dialogs.changeRole.success","Role updated successfully","collaborators","MEDIUM",""
"collaborators.dialogs.changeRole.error","Failed to update role","collaborators","MEDIUM",""
"collaborators.dialogs.remove.confirm","Remove","collaborators","MEDIUM",""
"collaborators.dialogs.remove.success","Collaborator removed successfully","collaborators","MEDIUM",""
"collaborators.dialogs.remove.error","Failed to remove collaborator","collaborators","MEDIUM",""
"collaborators.dialogs.resend.success","Invitation resent successfully","collaborators","MEDIUM",""
"collaborators.dialogs.resend.error","Failed to resend invitation","collaborators","MEDIUM",""
"collaborators.validation.emailRequired","Please enter at least one email address","collaborators","MEDIUM",""
